Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:46.966000,1.4.csv,Audio File 1.mp3,0.783172567,0.101004113,Green,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.004618802,0.0,46.966,0.0,0,0,0.0,0,0,0.008939597,0.008939597,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:47.264000,1.4.csv,Audio File 1.mp3,0.783172567,0.104596648,Green,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.0,0.0,47.264,0.0,0,0,0.0,0,0,0.003592535,0.003592535,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:47.601000,1.9.csv,Audio File 1.mp3,0.322931822,-0.087593438,Blue,Audio File 1,123.046875,1.732710888,125.0476372,-0.023809524,0.004618802,-8.905469711,47.601,-3.001143293,3.001143293,-26.42572615,-2.380952381,2.380952381,2.380952381,-0.192190086,0.192190086,Small Change (0-5%),Decrease in Tempo → Decrease in Arousal,0.4466130884118532,0.36759276636969185
000:00:48.635000,1.20.csv,Audio File 1.mp3,0.352272727,-0.261363636,Blue,Audio File 1,123.046875,1.732710888,124.0472561,0.0,0.009274853,0.0,48.635,0.0,0,8.612639953,0.0,0,0,-0.173770198,0.173770198,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:48.734000,1.19.csv,Audio File 1.mp3,0.255544749,0.112153632,Green,Audio File 1,123.046875,0.0,123.046875,0.0,0.009274853,0.0,48.734,0.0,0,0,0.0,0,0,0.373517268,0.373517268,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:49.434000,1.10.csv,Audio File 1.mp3,0.633622433,-0.011728756,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.004656051,0.0,49.434,0.0,0,0,0.0,0,0,-0.123882388,0.123882388,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:50.291000,1.2.csv,Audio File 1.mp3,0.096774194,0.163032258,Green,Audio File 1,126.0480183,1.732710888,124.0472561,0.024390244,0.004656051,3.501917494,50.291,3.001143293,3.001143293,4.086251452,2.43902439,2.43902439,2.43902439,0.174761014,0.174761014,Small Change (0-5%),Increase in Tempo → Increase in Arousal,0.5177956372197674,0.4480946123087131
000:00:50.730000,1.2.csv,Audio File 1.mp3,0.074193548,0.269483871,Green,Audio File 1,123.046875,1.732710888,124.0472561,-0.023809524,0.009312101,-6.836317295,50.73,-3.001143293,3.001143293,-23.54950977,-2.380952381,2.380952381,2.380952381,0.106451613,0.106451613,Small Change (0-5%),Decrease in Tempo → Increase in Arousal,0.4466130884118532,0.36759276636969185
000:00:51.775000,1.5.csv,Audio File 1.mp3,0.339241839,-0.034398034,Blue,Audio File 1,123.046875,1.732710888,124.0472561,0.0,0.013968152,0.0,51.775,0.0,0,6.541930426,0.0,0,0,-0.303881905,0.303881905,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:52.254000,1.13.csv,Audio File 1.mp3,0.369955937,-0.221243043,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.009312101,0.0,52.254,0.0,0,0,0.0,0,0,-0.186845008,0.186845008,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:52.558000,1.5.csv,Audio File 1.mp3,0.258511759,0.328887329,Green,Audio File 1,123.046875,0.0,123.046875,0.0,0.004656051,0.0,52.558,0.0,0,0,0.0,0,0,0.550130372,0.550130372,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:53.725000,1.18.csv,Audio File 1.mp3,0.166746833,-0.400673401,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,53.725,0.0,0,0,0.0,0,0,-0.72956073,0.72956073,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:54.069000,1.3.csv,Audio File 1.mp3,0.610451355,0.041801305,Green,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,54.069,0.0,0,0,0.0,0,0,0.442474706,0.442474706,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:54.116000,1.14.csv,Audio File 1.mp3,0.5919324,-0.011151545,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,54.116,0.0,0,0,0.0,0,0,-0.05295285,0.05295285,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:54.370000,1.18.csv,Audio File 1.mp3,0.169953503,-0.099246433,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,54.37,0.0,0,0,0.0,0,0,-0.088094888,0.088094888,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:54.730000,1.2.csv,Audio File 1.mp3,0.048387097,0.366258065,Green,Audio File 1,126.0480183,1.732710888,124.0472561,0.024390244,0.004656051,8.336509146,54.73,3.001143293,3.001143293,23.15696985,2.43902439,2.43902439,2.43902439,0.465504497,0.465504497,Small Change (0-5%),Increase in Tempo → Increase in Arousal,0.5177956372197674,0.4480946123087131
